NDCG@10,AP@10,TopKAgreement@10,MAP@10,Recall@10,HitRate@10,TopKOverlap@10,Regret@10,NDCG@25,AP@25,TopKAgreement@25,MAP@25,Recall@25,HitRate@25,TopKOverlap@25,Regret@25,NDCG@50,AP@50,TopKAgreement@50,MAP@50,Recall@50,HitRate@50,TopKOverlap@50,Regret@50,NDCG@100,AP@100,TopKAgreement@100,MAP@100,Recall@100,HitRate@100,TopKOverlap@100,Regret@100,NDCG_full,NDCG@10pct,P@10pct,Spearman,KendallTau,PairwiseAccuracy,Dataset,Protocol,Method,Seed,Stations,NDCG_at_10_percent,TopKAgreement_at_10_percent,Regret_at_10_percent
0.6572456216069706,0.09107142857142857,0.3,0.09107142857142857,0.3,1.0,0.3,0.25303030303030305,0.8412266340304447,0.7889858388422126,0.88,0.7889858388422126,0.88,1.0,0.88,0.024848484848484897,0.867551474072396,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.867551474072396,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.867551474072396,0.5540254047611097,0.0,0.44166225669425907,0.3679518737952694,0.627,External_PaloAlto_Usage,zero-shot demand-head transfer,Source_DirectPriorityHead,42,33,0.5540254047611097,0.0,0.4053030303030304
0.6572456216069706,0.09107142857142857,0.3,0.09107142857142857,0.3,1.0,0.3,0.25303030303030305,0.8412266340304447,0.7889858388422126,0.88,0.7889858388422126,0.88,1.0,0.88,0.024848484848484897,0.867551474072396,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.867551474072396,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.867551474072396,0.5540254047611097,0.0,0.44166225669425907,0.3679518737952694,0.627,External_PaloAlto_Usage,zero-shot demand-head transfer,Source_RiskHead_NegativeControl,42,33,0.5540254047611097,0.0,0.4053030303030304
0.39518863404049076,0.014285714285714285,0.1,0.014285714285714285,0.1,1.0,0.1,0.4863636363636365,0.6999747635010348,0.5641682431327069,0.8,0.5641682431327069,0.8,1.0,0.8,0.07696969696969691,0.7758526751190349,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7758526751190349,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7758526751190349,0.31596213549192936,0.0,0.03166894526191673,0.029100276558702457,0.536,External_PaloAlto_Usage,zero-shot demand-head transfer,Ridge_SourcePriority,42,33,0.31596213549192936,0.0,0.6590909090909092
0.5868832674824231,0.045,0.2,0.045,0.2,1.0,0.2,0.3424242424242425,0.7378629090562315,0.5622121727751018,0.72,0.5622121727751018,0.72,1.0,0.72,0.10909090909090913,0.8393501029208158,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8393501029208158,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8393501029208158,0.5002657712847209,0.0,0.09597058555535828,0.06476296212502004,0.529,External_PaloAlto_Usage,zero-shot demand-head transfer,Random,42,33,0.5002657712847209,0.0,0.5
0.45255406986197055,0.0,0.0,0.0,0.0,0.0,0.0,0.5022222071886062,0.4859632190626245,0.0,0.0,0.0,0.0,0.0,0.0,0.4544888797402382,0.5105599862247742,0.0,0.0,0.0,0.0,0.0,0.0,0.42137777462601667,0.5563105607531353,0.0013674939700348049,0.04,0.0013674939700348049,0.04,1.0,0.04,0.3580444414913654,0.9150973963511582,0.5604375808773975,0.04950495049504951,0.024215789523506105,0.015538948446409597,0.50625,Source_MAIN,operator-disjoint internal,PRIME_CommonCore_Full,123,1002,0.5604375808773975,0.04950495049504951,0.3529152889357935
0.5445572942716056,0.025,0.1,0.025,0.1,1.0,0.1,0.4192222148180008,0.5219671379800934,0.01,0.04,0.01,0.04,1.0,0.04,0.44088888585567476,0.5609993151429895,0.007761904761904761,0.06,0.007761904761904761,0.06,1.0,0.06,0.38095555692911154,0.5514790313043347,0.005756613756613757,0.05,0.005756613756613757,0.05,1.0,0.05,0.3803111105412244,0.9171473530732847,0.5515780396334473,0.04950495049504951,-0.012874884415200369,-0.009327044658055379,0.49465,Source_MAIN,operator-disjoint internal,PRIME_NoDirectFusion,123,1002,0.5515780396334473,0.04950495049504951,0.3799229918582605
0.4997849175684169,0.0,0.0,0.0,0.0,0.0,0.0,0.4809999853372574,0.5126247397606818,0.0,0.0,0.0,0.0,0.0,0.0,0.44728888303041464,0.5456490857931728,0.0,0.0,0.0,0.0,0.0,0.0,0.39582221701741227,0.5661620634415178,0.0008488721804511278,0.03,0.0008488721804511278,0.03,1.0,0.03,0.3594888858497142,0.9181579592073956,0.5661223849071144,0.0297029702970297,0.029412392084145454,0.019402272635332292,0.5116,Source_MAIN,operator-disjoint internal,PRIME_DirectOnly,123,1002,0.5661223849071144,0.0297029702970297,0.3593619331569955
0.5217857083937697,0.025,0.1,0.025,0.1,1.0,0.1,0.4207777604460716,0.5371210006968502,0.02,0.08,0.02,0.08,1.0,0.08,0.4057777678966522,0.5508771995191072,0.013529411764705884,0.06,0.013529411764705884,0.06,1.0,0.06,0.38946666687726983,0.5912547451138033,0.022164555192705108,0.14,0.022164555192705108,0.14,1.0,0.14,0.33221110902726647,0.9201925568855714,0.5917659284481103,0.13861386138613863,0.02136202506579774,0.014411822159464708,0.5086,Source_MAIN,operator-disjoint internal,PRIME_NoRisk,123,1002,0.5917659284481103,0.13861386138613863,0.3314851465644223
0.6433062494669533,0.1,0.1,0.1,0.1,1.0,0.1,0.4119999945163727,0.5833572942659568,0.04,0.04,0.04,0.04,1.0,0.04,0.4372444421052933,0.563915159653877,0.02,0.02,0.02,0.02,1.0,0.02,0.4250888873636723,0.5819150274810633,0.014662010808998628,0.08,0.014662010808998628,0.08,1.0,0.08,0.3702222208306193,0.9226252177582532,0.5851317012899896,0.0891089108910891,-0.028733853918374973,-0.019051861965388897,0.4915,Source_MAIN,operator-disjoint internal,PRIME_NoDemand,123,1002,0.5851317012899896,0.0891089108910891,0.36588558742758076
0.3508387877965362,0.0,0.0,0.0,0.0,0.0,0.0,0.6168888783082367,0.4631285633408929,0.0,0.0,0.0,0.0,0.0,0.0,0.45599999450147155,0.5201279425048676,0.0005714285714285714,0.02,0.0005714285714285714,0.02,1.0,0.02,0.39282222051173454,0.5582773864054285,0.008734947799368713,0.09,0.008734947799368713,0.09,1.0,0.09,0.3486222212947905,0.9134271202729721,0.5573520547530202,0.0891089108910891,-0.005240841649065896,-0.002927402443282163,0.4966,Source_MAIN,operator-disjoint internal,Ridge_CommonCore,123,1002,0.5573520547530202,0.0891089108910891,0.3497469737425004
0.4336868682986849,0.0,0.0,0.0,0.0,0.0,0.0,0.538333322480321,0.5196804961999995,0.0,0.0,0.0,0.0,0.0,0.0,0.4102666659653187,0.5333780185018521,0.00205,0.04,0.00205,0.04,1.0,0.04,0.3971555579453707,0.5739403801798187,0.01641517069813276,0.12,0.01641517069813276,0.12,1.0,0.12,0.3432444455102086,0.9178283976335371,0.5763799708494821,0.1188118811881188,0.038447826490354275,0.025807784802544663,0.51805,Source_MAIN,operator-disjoint internal,Random,123,1002,0.5763799708494821,0.1188118811881188,0.34018701982527677
0.4705405060911968,0.0,0.0,0.0,0.0,0.0,0.0,0.47039024390243894,0.4798422336826309,0.0,0.0,0.0,0.0,0.0,0.0,0.4428452961672472,0.5337236141267808,0.001610305958132045,0.04,0.001610305958132045,0.04,1.0,0.04,0.36356898954703837,0.5959486863174036,0.015115835271148976,0.14,0.015115835271148976,0.14,1.0,0.14,0.28167491289198615,0.9049114330711696,0.5916730503538351,0.1391304347826087,0.03328073989936772,0.022931257453088737,0.5143,External_Public_Stations,zero-shot source-to-external,PRIME_CommonCore_Full,123,1148,0.5916730503538351,0.1391304347826087,0.2848051810331766
0.5491917705660283,0.0,0.0,0.0,0.0,0.0,0.0,0.40496167247386755,0.4722353280003563,0.0,0.0,0.0,0.0,0.0,0.0,0.4804599303135888,0.5078923105079193,0.0028447843949363704,0.06,0.0028447843949363704,0.06,1.0,0.06,0.4056954703832752,0.5465459556936513,0.00931278058141895,0.1,0.00931278058141895,0.1,1.0,0.1,0.3364005226480835,0.904561550815099,0.5533429572377087,0.11304347826086956,0.03251562282189269,0.022979982373611485,0.5145,External_Public_Stations,zero-shot source-to-external,PRIME_NoDirectFusion,123,1148,0.5533429572377087,0.11304347826086956,0.32494834116043014
0.492843478236987,0.0,0.0,0.0,0.0,0.0,0.0,0.4307787456445992,0.534492793899595,0.0016,0.04,0.0016,0.04,1.0,0.04,0.3749331010452961,0.53177185465986,0.0019111111111111113,0.04,0.0019111111111111113,0.04,1.0,0.04,0.3710742160278746,0.57294543430766,0.008731888642498704,0.1,0.008731888642498704,0.1,1.0,0.1,0.30880801393728213,0.9045011462656547,0.572690212651488,0.10434782608695652,0.02572216336878855,0.017705007249984726,0.5086,External_Public_Stations,zero-shot source-to-external,PRIME_DirectOnly,123,1148,0.572690212651488,0.10434782608695652,0.30628677473110116
0.41782575363277324,0.02,0.1,0.02,0.1,1.0,0.1,0.5361620209059232,0.46106745037008234,0.008,0.04,0.008,0.04,1.0,0.04,0.4498508710801393,0.45476140856099656,0.008912280701754387,0.06,0.008912280701754387,0.06,1.0,0.06,0.44121393728223,0.5055548047876524,0.017350620021351727,0.12,0.017350620021351727,0.12,1.0,0.12,0.3620787456445992,0.8961740905836785,0.5169128769733425,0.10434782608695652,-0.004984428392763144,-0.003975331304941666,0.4946,External_Public_Stations,zero-shot source-to-external,PRIME_NoRisk,123,1148,0.5169128769733425,0.10434782608695652,0.3461536130889258
