Dataset,Method,Metric,BootstrapRepetitions,Mean,Std,CI95_L,CI95_U
External_PaloAlto_Usage,Source_DirectPriorityHead,NDCG_at_10_percent,1000,0.6183322212604724,0.11801568557858078,0.37110229826512486,0.8351498569162247
External_PaloAlto_Usage,Source_DirectPriorityHead,TopKAgreement_at_10_percent,1000,0.0265,0.09317419938712343,0.0,0.25
External_PaloAlto_Usage,Source_DirectPriorityHead,Spearman,1000,0.10048562941428586,0.2021868233260588,-0.30193804298173066,0.4730199856349038
External_PaloAlto_Usage,Source_DirectPriorityHead,KendallTau,1000,0.06283720498617101,0.15417005607880196,-0.2531027446703256,0.34705902350827994
External_PaloAlto_Usage,Source_DirectPriorityHead,PairwiseAccuracy,1000,0.5282267570616461,0.07383809856550812,0.38291512488436635,0.66784516079652
External_PaloAlto_Usage,Source_DirectPriorityHead,Regret_at_10_percent,1000,0.35809848484848494,0.1199185722458332,0.14393939393939403,0.6174242424242424
External_PaloAlto_Usage,Source_RiskHead_NegativeControl,NDCG_full,1000,0.863636342344591,0.04177271893073899,0.7802036728111796,0.9374107872301313
External_PaloAlto_Usage,Source_RiskHead_NegativeControl,NDCG_at_10_percent,1000,0.6089761040465139,0.14187425481784677,0.32253772516009627,0.8746152961288388
External_PaloAlto_Usage,Source_RiskHead_NegativeControl,TopKAgreement_at_10_percent,1000,0.16725,0.17064306770729526,0.0,0.5
External_PaloAlto_Usage,Source_RiskHead_NegativeControl,Spearman,1000,0.43446491786316643,0.13128925343006237,0.14433897142039703,0.6561482281127867
External_PaloAlto_Usage,Source_RiskHead_NegativeControl,KendallTau,1000,0.36675964310449594,0.1108376917859575,0.12253022937123516,0.5543858956371156
External_PaloAlto_Usage,Source_RiskHead_NegativeControl,PairwiseAccuracy,1000,0.604441754005383,0.04949766462959518,0.5126750483558994,0.7029317207593386
External_PaloAlto_Usage,Source_RiskHead_NegativeControl,Regret_at_10_percent,1000,0.36141287878787887,0.12546387347570712,0.12121212121212122,0.6174242424242424
External_PaloAlto_Usage,Ridge_SourcePriority,NDCG_full,1000,0.7836258468584556,0.0277305226502538,0.7336927259659821,0.8432798405990064
External_PaloAlto_Usage,Ridge_SourcePriority,NDCG_at_10_percent,1000,0.3275045852064487,0.06443316103346473,0.20157434124499535,0.47589753504693916
External_PaloAlto_Usage,Ridge_SourcePriority,TopKAgreement_at_10_percent,1000,0.0055,0.036689182276198204,0.0,0.0
External_PaloAlto_Usage,Ridge_SourcePriority,Spearman,1000,0.033192713098309935,0.19288312022221968,-0.3394090297719679,0.38831841567263226
External_PaloAlto_Usage,Ridge_SourcePriority,KendallTau,1000,0.030046584231360415,0.12890038765921003,-0.21617462246051375,0.2703975612600223
External_PaloAlto_Usage,Ridge_SourcePriority,PairwiseAccuracy,1000,0.5150367130333976,0.07111555214366622,0.37766399783399085,0.6514153742680804
External_PaloAlto_Usage,Ridge_SourcePriority,Regret_at_10_percent,1000,0.6315530303030302,0.08490203037628946,0.43939393939393945,0.7840909090909091
External_PaloAlto_Usage,Random,NDCG_full,1000,0.8398665867389363,0.03912441665169079,0.7506375643572578,0.9057246131653498
External_PaloAlto_Usage,Random,NDCG_at_10_percent,1000,0.5541276607491854,0.13451072089376825,0.27786670014407455,0.8004231278160892
External_PaloAlto_Usage,Random,TopKAgreement_at_10_percent,1000,0.093,0.1508268833754406,0.0,0.5
External_PaloAlto_Usage,Random,Spearman,1000,0.08223329744972623,0.17341489294942314,-0.2635166040796354,0.42199792734504304
External_PaloAlto_Usage,Random,KendallTau,1000,0.05385198528219774,0.11869301843840407,-0.1784352435307977,0.28377259767738133
External_PaloAlto_Usage,Random,PairwiseAccuracy,1000,0.5292998071289547,0.066983391628394,0.3970915229308731,0.654512738193869
External_PaloAlto_Usage,Random,Regret_at_10_percent,1000,0.42359090909090913,0.14800096330474888,0.1589962121212121,0.7272727272727273
