Seed,Variant,ParameterCount,ModelMemoryMB,TrainingTime_seconds,Latency_ms_per_station,NDCG@10,MAP@10,Recall@10,HitRate@10,TopKOverlap@10,Regret@10,NDCG@25,MAP@25,Recall@25,HitRate@25,TopKOverlap@25,Regret@25,NDCG@50,MAP@50,Recall@50,HitRate@50,TopKOverlap@50,Regret@50,NDCG@100,MAP@100,Recall@100,HitRate@100,TopKOverlap@100,Regret@100,NDCG_full,NDCG@10pct,P@10pct,Spearman,KendallTau,PairwiseAccuracy
456,NoAttention,14325,0.054645538330078125,0.5040046999929473,0.017709321168159178,0.5465598996924707,0.0,0.0,0.0,0.0,0.4105555549263954,0.529872425732513,0.0022222222222222222,0.04,1.0,0.04,0.4345777755975723,0.5488771596732521,0.0025396825396825397,0.04,1.0,0.04,0.3980888858437539,0.5751342564320658,0.016649558070314284,0.13,1.0,0.13,0.35262222230434426,0.9182762110981324,0.5752327382535076,0.13131313131313133,-0.002932903866204023,-0.0019374011374802907,0.514
456,DeterministicRisk,14325,0.054645538330078125,0.49449000001186505,0.021978858502142002,0.5207255932133638,0.0,0.0,0.0,0.0,0.49277777671813966,0.5243981180651827,0.003333333333333333,0.04,1.0,0.04,0.4557333296537399,0.5328838277723389,0.002575757575757576,0.04,1.0,0.04,0.4244888854026795,0.5474460994782044,0.0035983860342555995,0.06,1.0,0.06,0.3847888868208975,0.9169387248642908,0.548416629826189,0.06060606060606061,-0.014853480220621112,-0.009656145428562019,0.5026
789,Full,14325,0.054645538330078125,0.5949956999975257,0.020746540257128493,0.4623441435101676,0.0,0.0,0.0,0.0,0.52822220697999,0.5058682691384978,0.0,0.0,0.0,0.0,0.44848888486623767,0.5179780491200318,0.0007142857142857143,0.02,1.0,0.02,0.42391111150383953,0.5515386069988298,0.007200504905194535,0.09,1.0,0.09,0.37057777814567083,0.9135736789979222,0.5545441214191955,0.09900990099009901,-0.04824111639705583,-0.03227921929821602,0.4786
789,NoIRE_Conv,7060,0.0269317626953125,0.06166700000176206,0.001233433134245351,0.5174185316607932,0.0,0.0,0.0,0.0,0.3933333262801171,0.5168165159151226,0.0,0.0,0.0,0.0,0.4229777708649636,0.5073368267204006,0.0,0.0,0.0,0.0,0.4348444424569607,0.5549145374052638,0.011062187756997362,0.1,1.0,0.1,0.3642888865619897,0.9147926363821289,0.5563595712609801,0.10891089108910891,-0.01661730545449681,-0.010630021622450742,0.5038
789,PointwiseRanking,14325,0.054645538330078125,0.6959638999542221,0.020564238181280708,0.44003674472369336,0.0,0.0,0.0,0.0,0.5489999823272229,0.525681330103538,0.002857142857142857,0.04,1.0,0.04,0.4194222113490105,0.5388377200433792,0.00738992408557626,0.08,1.0,0.08,0.40135555263608697,0.5757722079265151,0.014191386768258676,0.11,1.0,0.11,0.3467777757160365,0.9164441245752586,0.575347222245626,0.10891089108910891,-0.02089034117109023,-0.013862729530911451,0.4844
789,NoAttention,14325,0.054645538330078125,0.7396461000316776,0.018505555555423943,0.5148916213436484,0.0,0.0,0.0,0.0,0.47999999523162845,0.5454137183986237,0.013333333333333332,0.04,1.0,0.04,0.41551110833883287,0.5848200254562738,0.017285714285714286,0.1,1.0,0.1,0.35655555620789536,0.595591031823048,0.010438611589214,0.07,1.0,0.07,0.33616666689515107,0.9219727656424321,0.5928706722252762,0.06930693069306931,0.036120189887231736,0.02426927949461568,0.5128
789,DeterministicRisk,14325,0.054645538330078125,0.7152167999884114,0.020634597475644813,0.4616958669115271,0.0,0.0,0.0,0.0,0.46977776885032657,0.549444708335574,0.005714285714285714,0.04,1.0,0.04,0.36186666131019596,0.5528085313818037,0.004523809523809524,0.04,1.0,0.04,0.37535555426031353,0.5871774999193198,0.02651173606462194,0.15,1.0,0.15,0.3312222190387546,0.9171318442103767,0.5890646463280563,0.15841584158415842,-0.007523806693714311,-0.005118454188396124,0.5014
2025,Full,14325,0.054645538330078125,0.5029087000293657,0.028175881564064437,0.6526553338935684,0.0,0.0,0.0,0.0,0.3784444347023964,0.6273641166910475,0.02,0.04,1.0,0.04,0.3713333299756051,0.5934958180794936,0.012242424242424242,0.06,1.0,0.06,0.3892444454133511,0.5950106520737579,0.009960418134836741,0.07,1.0,0.07,0.3594111107289791,0.9265337000473287,0.5954528715535357,0.06930693069306931,0.028103253563869984,0.018596052468484787,0.5076
2025,NoIRE_Conv,7060,0.0269317626953125,0.06728660000953823,0.0011992015883931302,0.40466373290579477,0.0,0.0,0.0,0.0,0.571888878941536,0.484664139114748,0.0,0.0,0.0,0.0,0.4515999925136567,0.524285972591726,0.0024285714285714284,0.04,1.0,0.04,0.4026666668057442,0.5636911694050274,0.005282711066882894,0.08,1.0,0.08,0.35125555418431753,0.9169618486931437,0.5657821740392646,0.07920792079207921,0.05336887422159452,0.034248744341303185,0.5292
2025,PointwiseRanking,14325,0.054645538330078125,0.5092807000037283,0.021147571522085688,0.593243014117786,0.0,0.0,0.0,0.0,0.3962222129106522,0.5892539592792062,0.002105263157894737,0.04,1.0,0.04,0.3839111077785492,0.5991614364876894,0.0032050125313283205,0.06,1.0,0.06,0.3584444451332093,0.5876262238785489,0.005427605747295031,0.07,1.0,0.07,0.3561888889223337,0.9239093193546242,0.5874855865431734,0.06930693069306931,0.03217628679638529,0.021868670351124022,0.5114
2025,NoAttention,14325,0.054645538330078125,0.6919481999939308,0.01845878242739338,0.6735257614535749,0.0,0.0,0.0,0.0,0.3437777698040009,0.6207463215062073,0.0025,0.04,1.0,0.04,0.3782222190499306,0.5791810544768974,0.00125,0.02,1.0,0.02,0.4058666667342186,0.5911729881360659,0.015878581201831953,0.08,1.0,0.08,0.36179999917745587,0.9239225111854791,0.5919636822503677,0.07920792079207921,-0.019624213439759126,-0.012593592352034283,0.4966
2025,DeterministicRisk,14325,0.054645538330078125,0.5976266000070609,0.02198426480248883,0.36808515074724446,0.0,0.0,0.0,0.0,0.5508888743817806,0.4232445974106645,0.0,0.0,0.0,0.0,0.4913333249092102,0.47476825063594896,0.0013128205128205127,0.04,1.0,0.04,0.43326666265726094,0.5258734964075049,0.008086757123994634,0.1,1.0,0.1,0.3726444433443248,0.9077904227617969,0.5269998534874382,0.09900990099009901,-0.04367857673215478,-0.02963515132626543,0.4846
