Variant,Metric,Mean,Std,CI95_L,CI95_U,N
NoAttention,ParameterCount,14325.0,0.0,14325.0,14325.0,5
NoAttention,ModelMemoryMB,0.054645538330078125,0.0,0.054645538330078125,0.054645538330078125,5
NoAttention,TrainingTime_seconds,0.6285163599997758,0.13357676687093012,0.46265889757968437,0.7943738224198673,5
NoAttention,Latency_ms_per_station,0.01865930268374174,0.0006772791803651715,0.017818349508749352,0.019500255858734127,5
NoAttention,NDCG@10,0.5458542953258901,0.08412404382114982,0.4414004987298524,0.6503080919219278,5
NoAttention,MAP@10,0.0,0.0,0.0,0.0,5
NoAttention,Recall@10,0.0,0.0,0.0,0.0,5
NoAttention,HitRate@10,0.0,0.0,0.0,0.0,5
NoAttention,TopKOverlap@10,0.0,0.0,0.0,0.0,5
NoAttention,Regret@10,0.4424222162365914,0.06642671574694442,0.3599425547746953,0.5249018776984875,5
NoAttention,NDCG@25,0.551774603728205,0.04324796732420857,0.4980751597062423,0.6054740477501677,5
NoAttention,MAP@25,0.006277777777777778,0.006513281776967187,-0.0018095297148390324,0.014365085270394588,5
NoAttention,Recall@25,0.032,0.01788854381999832,0.009788439158417612,0.05421156084158239,5
NoAttention,HitRate@25,0.8,0.44721359549995804,0.24471097896044014,1.3552890210395598,5
NoAttention,TopKOverlap@25,0.032,0.01788854381999832,0.009788439158417612,0.05421156084158239,5
NoAttention,Regret@25,0.41511999690532686,0.02171147288639451,0.3881616426743136,0.44207835113634014,5
NoAttention,NDCG@50,0.5571660339156601,0.024902914145792345,0.5262449819704704,0.5880870858608498,5
NoAttention,MAP@50,0.00624792008757526,0.00733036345862236,-0.0028539283127445685,0.015349768487895089,5
NoAttention,Recall@50,0.044,0.03847076812334269,-0.0037677677619996977,0.09176776776199969,5
NoAttention,HitRate@50,0.8,0.44721359549995804,0.24471097896044014,1.3552890210395598,5
NoAttention,TopKOverlap@50,0.044,0.03847076812334269,-0.0037677677619996977,0.09176776776199969,5
NoAttention,Regret@50,0.39636888819932936,0.0233302300937598,0.36740058142209775,0.425337194976561,5
NoAttention,NDCG@100,0.5857015939953157,0.013203381345076853,0.5693074307245786,0.6020957572660529,5
NoAttention,MAP@100,0.011534810758520603,0.004593008811547659,0.005831837073789208,0.017237784443252,5
NoAttention,Recall@100,0.09,0.02345207879911715,0.06088039807209841,0.11911960192790158,5
NoAttention,HitRate@100,1.0,0.0,1.0,1.0,5
NoAttention,TopKOverlap@100,0.09,0.02345207879911715,0.06088039807209841,0.11911960192790158,5
NoAttention,Regret@100,0.3466422215737402,0.0108268935054467,0.33319885769564084,0.36008558545183955,5
NoAttention,NDCG_full,0.9206346045270648,0.0037691815205004187,0.9159545475303645,0.9253146615237651,5
NoAttention,NDCG@10pct,0.585363928845181,0.012782823179002723,0.5694919575084086,0.6012359001819533,5
NoAttention,P@10pct,0.08962896289628963,0.02433116099077432,0.059417836259545276,0.11984008953303399,5
NoAttention,Spearman,0.012041952071915617,0.029796217522208724,-0.02495493850805919,0.04903884265189043,5
NoAttention,KendallTau,0.008130110797267106,0.019655640478776455,-0.01627559034686626,0.03253581194140047,5
NoAttention,PairwiseAccuracy,0.50404,0.010440689632394997,0.49107617156703587,0.5170038284329642,5
NoIRE_Conv,ParameterCount,7060.0,0.0,7060.0,7060.0,5
NoIRE_Conv,ModelMemoryMB,0.0269317626953125,0.0,0.0269317626953125,0.0269317626953125,5
NoIRE_Conv,TrainingTime_seconds,0.06550653999438509,0.0024324886277190118,0.06248620643930631,0.06852687354946388,5
NoIRE_Conv,Latency_ms_per_station,0.0013937686511746104,0.0002549437715714342,0.0010772141484480758,0.001710323153901145,5
NoIRE_Conv,NDCG@10,0.4699734834420107,0.05685326954233259,0.3993808254711216,0.5405661414128998,5
NoIRE_Conv,MAP@10,0.0,0.0,0.0,0.0,5
NoIRE_Conv,Recall@10,0.0,0.0,0.0,0.0,5
NoIRE_Conv,HitRate@10,0.0,0.0,0.0,0.0,5
NoIRE_Conv,TopKOverlap@10,0.0,0.0,0.0,0.0,5
NoIRE_Conv,Regret@10,0.4792222140729427,0.06705944435780375,0.39595691627430907,0.5624875118715763,5
NoIRE_Conv,NDCG@25,0.4999287570344911,0.03278373955972478,0.45922236789669224,0.5406351461722899,5
NoIRE_Conv,MAP@25,0.0008666666666666666,0.0012382783747337807,-0.0006708590109945414,0.0024041923443278747,5
NoIRE_Conv,Recall@25,0.016,0.021908902300206645,-0.011203495226330278,0.04320349522633028,5
NoIRE_Conv,HitRate@25,0.4,0.5477225575051662,-0.280087380658257,1.0800873806582572,5
NoIRE_Conv,TopKOverlap@25,0.016,0.021908902300206645,-0.011203495226330278,0.04320349522633028,5
NoIRE_Conv,Regret@25,0.4414133271574975,0.045481146007917445,0.38494102556241744,0.4978856287525775,5
NoIRE_Conv,NDCG@50,0.5175988957921802,0.019593261455706508,0.49327064843523594,0.5419271431491245,5
NoIRE_Conv,MAP@50,0.0015980120881808335,0.0014057145766063822,-0.00014741309334156158,0.003343437269703229,5
NoIRE_Conv,Recall@50,0.028000000000000004,0.022803508501982758,-0.00031429553964549065,0.056314295539645495,5
NoIRE_Conv,HitRate@50,0.8,0.4472135954999579,0.24471097896044036,1.3552890210395598,5
NoIRE_Conv,TopKOverlap@50,0.028000000000000004,0.022803508501982758,-0.00031429553964549065,0.056314295539645495,5
NoIRE_Conv,Regret@50,0.41743555420637135,0.027885264667854803,0.38281142498791254,0.45205968342483016,5
NoIRE_Conv,NDCG@100,0.5662265751473056,0.0160114445648879,0.5463457408718488,0.5861074094227623,5
